17:31:38  [main] 	Initializing Control Panel
17:31:38  [main] 	Windows Version: Windows 7 Ultimate SP1 64-bit
17:31:38  [main] 	XAMPP Version: 7.2.29
17:31:38  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
17:31:38  [main] 	Running with Administrator rights - good!
17:31:38  [main] 	XAMPP Installation Directory: "c:\xampp1\"
17:31:38  [main] 	Checking for prerequisites
17:31:38  [main] 	All prerequisites found
17:31:38  [main] 	Initializing Modules
17:31:38  [main] 	Starting Check-Timer
17:31:38  [main] 	Control Panel Ready
17:31:41  [Apache] 	Installing service...
17:31:42  [Apache] 	Successful!
17:31:44  [mysql] 	Installing service...
17:31:44  [mysql] 	Successful!
17:31:48  [filezilla] 	Setting Service Name...
17:31:48  [filezilla] 	Setting Service Display Name...
17:31:48  [filezilla] 	Installing service...
17:31:48  [filezilla] 	Successful!
17:31:50  [Tomcat] 	Installing service...
17:31:50  [Tomcat] 	Service was NOT (un)installed!
17:31:51  [Apache] 	Attempting to start Apache service...
17:31:51  [Apache] 	Status change detected: running
17:31:52  [mysql] 	Attempting to start MySQL service...
17:31:53  [mysql] 	Status change detected: running
17:31:53  [mysql] 	Attempting to stop MySQL service...
17:31:54  [mysql] 	Status change detected: stopped
17:31:55  [mysql] 	Attempting to start MySQL service...
17:31:55  [mysql] 	Status change detected: running
17:33:56  [main] 	Deinitializing Modules
17:33:56  [main] 	Deinitializing Control Panel

